count,first_name,last_name,salary,from_date,title
16433,Vasilii,Jakobus,49240,2002-07-26,Senior Engineer
16433,IEEE,Usery,75791,2002-07-26,Senior Engineer
16433,Val,Clouatre,63381,2002-07-26,Senior Engineer
15562,Harngdar,Swick,42625,2002-07-26,Senior Staff
15562,Shuho,Vural,86292,2002-07-26,Senior Staff
15562,Bernice,Mitina,80868,2002-07-26,Senior Staff
15562,Mahmut,Tempesti,54727,2002-07-25,Senior Staff
15562,Huei,Granlund,65143,2002-07-25,Senior Staff
15562,Haldun,Oppitz,52604,2002-07-25,Senior Staff
16433,Youpyo,Melton,40884,2002-07-25,Senior Engineer
16433,Gad,Swiler,52503,2002-07-25,Senior Engineer
16433,Janalee,DasSarma,86567,2002-07-25,Senior Engineer
16433,Olivera,Klassen,61384,2002-07-25,Senior Engineer
16433,Arvind,Miake,49759,2002-07-25,Senior Engineer
16433,Vasiliy,Raoux,82841,2002-07-25,Senior Engineer
16433,Ibibia,Valiente,54423,2002-07-24,Senior Engineer
16433,Brewster,Pocchiola,75943,2002-07-24,Senior Engineer
19255,Radhakrishnan,Schahn,74856,2002-07-24,Engineer
16433,Badri,Butner,53632,2002-07-24,Senior Engineer
15562,Zhaofang,Penn,46000,2002-07-24,Senior Staff
15562,Godehard,Guerreiro,83570,2002-07-24,Senior Staff
15562,Paris,Kadhim,98082,2002-07-24,Senior Staff
15562,Neven,Zwicker,41726,2002-07-24,Senior Staff
15562,Vojin,Coombs,88958,2002-07-23,Senior Staff
16433,Zeljko,Miake,57351,2002-07-23,Senior Engineer
16433,Ipke,Fortenbacher,77080,2002-07-23,Senior Engineer
16433,Halsur,Benantar,64087,2002-07-23,Senior Engineer
16433,Sailaja,Waeselynck,64471,2002-07-22,Senior Engineer
15562,Vincent,Sundgren,89931,2002-07-22,Senior Staff
15562,Collette,Ozeri,71242,2002-07-21,Senior Staff
15562,Arie,Crelier,54013,2002-07-21,Senior Staff
15562,Pramod,Montemayor,90663,2002-07-21,Senior Staff
16433,Patricia,Covnot,81194,2002-07-21,Senior Engineer
16433,Toney,Awdeh,71419,2002-07-21,Senior Engineer
16433,Marit,Boguraev,86342,2002-07-21,Senior Engineer
16433,Kristine,Schaaf,75974,2002-07-20,Senior Engineer
15562,Filipe,Herber,55776,2002-07-20,Senior Staff
15562,Masami,Kawashimo,88750,2002-07-20,Senior Staff
15562,Wuxu,Asrin,81410,2002-07-20,Senior Staff
15562,Jouko,Jansen,62346,2002-07-20,Senior Staff
15562,Ashish,Vitiello,44487,2002-07-19,Senior Staff
15562,Michaela,Simmen,58225,2002-07-19,Senior Staff
15562,Sadegh,Isard,91905,2002-07-19,Senior Staff
16433,Reuven,Coorg,55854,2002-07-19,Senior Engineer
16433,Sandeepan,Sabnani,106597,2002-07-19,Senior Engineer
16433,Yishai,Radhakrishnan,46652,2002-07-19,Senior Engineer
16433,Guttorm,Sidou,43680,2002-07-18,Senior Engineer
16433,Conrado,Pluym,62443,2002-07-18,Senior Engineer
16433,Hongzhu,Maquelin,70602,2002-07-18,Senior Engineer
16433,Niteen,Berztiss,92167,2002-07-18,Senior Engineer
15562,Sadok,McAlpine,72508,2002-07-18,Senior Staff
15562,Kwun,Erva,76707,2002-07-18,Senior Staff
15562,Xuejun,Puppo,67700,2002-07-18,Senior Staff
15562,Kazunori,Monkewich,61372,2002-07-18,Senior Staff
15562,Kellie,Peek,61508,2002-07-17,Senior Staff
15562,Oddvar,Simmen,69610,2002-07-17,Senior Staff
15562,Nathan,Plotkin,68145,2002-07-17,Senior Staff
15562,Ramya,Warwick,71474,2002-07-17,Senior Staff
15562,Yuriy,Azumi,48206,2002-07-17,Senior Staff
16433,Theirry,Peltason,73264,2002-07-17,Senior Engineer
19255,Iara,Bodoff,47461,2002-07-17,Engineer
16433,Toshimori,Staylopatis,44896,2002-07-17,Senior Engineer
16433,Faiza,Asmuth,48107,2002-07-16,Senior Engineer
15562,Martina,Munoz,76949,2002-07-16,Senior Staff
15562,Srinidhi,Jakobus,65903,2002-07-16,Senior Staff
15562,Youngkon,Sluis,60053,2002-07-16,Senior Staff
15562,Matk,Schlegelmilch,49725,2002-07-16,Senior Staff
15562,Jinya,Miara,89967,2002-07-15,Senior Staff
16433,Khatoun,Nyanchama,87598,2002-07-15,Senior Engineer
16433,Kwangyoen,Quittner,63741,2002-07-15,Senior Engineer
16433,Kamran,Matteis,80626,2002-07-15,Senior Engineer
16433,Wilmer,Ritcey,40926,2002-07-14,Senior Engineer
16433,Mohamadou,Angel,97587,2002-07-14,Senior Engineer
15562,Irene,Milicia,55325,2002-07-14,Senior Staff
15562,Shaz,Shokrollahi,89365,2002-07-14,Senior Staff
15562,Eberhardt,Raczkowsky,44873,2002-07-14,Senior Staff
15562,Jagoda,Rothe,67761,2002-07-14,Senior Staff
15562,Xiadong,Auria,64796,2002-07-14,Senior Staff
15562,Maja,Werthner,52903,2002-07-14,Senior Staff
15562,Dines,Smailagic,66415,2002-07-13,Senior Staff
15562,Shaibal,Chinen,57715,2002-07-13,Senior Staff
15562,Erzsebet,Itzigehl,43261,2002-07-13,Senior Staff
15562,Fan,Schonegge,67466,2002-07-13,Senior Staff
15562,Maren,Verspoor,67308,2002-07-13,Senior Staff
16433,Maha,Pokrovskii,48260,2002-07-13,Senior Engineer
16433,Adil,Otillio,89006,2002-07-13,Senior Engineer
16433,Susanta,Michaels,63718,2002-07-13,Senior Engineer
19255,Tommaso,Janocha,87430,2002-07-12,Engineer
16433,Ottavia,Ballarin,57387,2002-07-12,Senior Engineer
16433,Aloys,Herbst,93293,2002-07-12,Senior Engineer
16433,Kannan,Parveen,56931,2002-07-12,Senior Engineer
16433,Reuven,Guerreiro,72291,2002-07-12,Senior Engineer
16433,Uma,Beilner,51750,2002-07-12,Senior Engineer
16433,Mantis,Baak,69782,2002-07-12,Senior Engineer
15562,Sedat,Schmezko,51748,2002-07-12,Senior Staff
15562,Chinhyun,Shihab,71441,2002-07-12,Senior Staff
15562,Tsutomu,Eterovic,78760,2002-07-12,Senior Staff
15562,Mooi,Kalafatis,48748,2002-07-11,Senior Staff
15562,Sergi,Cesareni,92404,2002-07-11,Senior Staff
15562,Toshiko,Lorch,81635,2002-07-11,Senior Staff
15562,Froduald,Sambasivam,40636,2002-07-11,Senior Staff
16433,Angel,Chaudhury,58475,2002-07-11,Senior Engineer
16433,Bernd,Remmele,47955,2002-07-11,Senior Engineer
16433,Arlette,Thorensen,76328,2002-07-11,Senior Engineer
16433,Toshimori,Hitomi,71222,2002-07-11,Senior Engineer
16433,Bartek,Marshall,73912,2002-07-11,Senior Engineer
16433,Volkmar,Terekhov,71833,2002-07-11,Senior Engineer
16433,Ulises,Zockler,52399,2002-07-11,Senior Engineer
16433,Xinyu,Pileggi,43896,2002-07-10,Senior Engineer
15562,Beshir,Hofmeyr,87570,2002-07-10,Senior Staff
15562,Goa,Bierbaum,42627,2002-07-10,Senior Staff
15562,Masasuke,Androutsos,73983,2002-07-10,Senior Staff
15562,Kasidit,Verhaegen,52377,2002-07-10,Senior Staff
15562,Youssef,Ariola,78356,2002-07-10,Senior Staff
15562,Jeanna,Daescu,68242,2002-07-09,Senior Staff
15562,Eishiro,Azuma,104522,2002-07-09,Senior Staff
15562,Guozhong,Alpin,87087,2002-07-09,Senior Staff
16433,Oddvar,Akiyama,80615,2002-07-09,Senior Engineer
16433,Sandeepan,Felder,44684,2002-07-08,Senior Engineer
16433,Yongmin,Wegerle,71849,2002-07-08,Senior Engineer
16433,Alenka,Harnett,81741,2002-07-08,Senior Engineer
16433,Saeko,Kuhnemann,69232,2002-07-08,Senior Engineer
16433,Marjo,Rattan,62309,2002-07-08,Senior Engineer
15562,Xiaoqiang,Rajala,92177,2002-07-08,Senior Staff
15562,Neven,Benveniste,54181,2002-07-08,Senior Staff
15562,Yuriy,Anick,56808,2002-07-08,Senior Staff
15562,Kazunori,Kakkar,55100,2002-07-07,Senior Staff
15562,Nahla,Mellouli,81079,2002-07-07,Senior Staff
16433,Apostol,Schurmann,70912,2002-07-07,Senior Engineer
16433,Mizuhito,Kaminger,52958,2002-07-07,Senior Engineer
16433,Shushma,Gargeya,45168,2002-07-07,Senior Engineer
16433,Sadok,Danlos,68449,2002-07-07,Senior Engineer
16433,Yoshimitsu,Garnick,107212,2002-07-07,Senior Engineer
16433,Renny,Harllee,50949,2002-07-06,Senior Engineer
16433,Divine,Tiemann,53567,2002-07-06,Senior Engineer
16433,Sachin,Magliocco,63650,2002-07-06,Senior Engineer
16433,Koichi,Breugel,44926,2002-07-06,Senior Engineer
16433,Satosi,Madeira,58320,2002-07-06,Senior Engineer
16433,Alois,Gelosh,51147,2002-07-06,Senior Engineer
15562,Susanne,Compeau,77997,2002-07-06,Senior Staff
15562,Aram,Msuda,74896,2002-07-06,Senior Staff
15562,Khun,Tramer,56259,2002-07-06,Senior Staff
15562,Deniz,Michaels,75436,2002-07-06,Senior Staff
15562,Jinpo,Falby,72915,2002-07-06,Senior Staff
15562,Jamaludin,Gluchowski,68260,2002-07-06,Senior Staff
15562,Jacopo,Comyn,93346,2002-07-05,Senior Staff
16433,Narain,Wynblatt,65928,2002-07-05,Senior Engineer
16433,Luise,Lindqvist,42158,2002-07-05,Senior Engineer
16433,Yakkov,Heinisuo,59671,2002-07-05,Senior Engineer
16433,Marsja,Swiss,54385,2002-07-05,Senior Engineer
16433,Demin,Underwood,78384,2002-07-05,Senior Engineer
16433,Zvonko,Aamodt,40184,2002-07-05,Senior Engineer
16433,Uma,Backhouse,62035,2002-07-05,Senior Engineer
16433,Bluma,Hofman,73195,2002-07-05,Senior Engineer
19255,Lene,England,61518,2002-07-04,Engineer
16433,Shigehito,Farrel,59597,2002-07-04,Senior Engineer
16433,Francoise,Stifter,58310,2002-07-04,Senior Engineer
16433,Ghassan,Limongiello,54545,2002-07-04,Senior Engineer
16433,Lena,Argence,59274,2002-07-04,Senior Engineer
15562,Eishiro,Siprelle,63676,2002-07-04,Senior Staff
15562,Maha,Waterhouse,43154,2002-07-04,Senior Staff
15562,Jiafu,Alvarado,73239,2002-07-04,Senior Staff
15562,Siamak,Flasterstein,58682,2002-07-03,Senior Staff
15562,Gay,Pettis,72032,2002-07-03,Senior Staff
15562,Feiyu,Brickell,77325,2002-07-03,Senior Staff
15562,Evgueni,Zaumen,66525,2002-07-03,Senior Staff
19255,Lubomir,Erev,69723,2002-07-03,Engineer
16433,Saeed,Lindenbaum,74700,2002-07-03,Senior Engineer
16433,Somnath,Miyakawa,55134,2002-07-02,Senior Engineer
16433,Josyula,Hockney,53614,2002-07-02,Senior Engineer
19255,Seongbin,Ghandeharizadeh,46593,2002-07-02,Engineer
15562,Djelloul,Jiafu,46555,2002-07-02,Senior Staff
15562,Masoud,Hebden,54565,2002-07-02,Senior Staff
15562,Volkmar,Raczkowsky,59783,2002-07-02,Senior Staff
15562,Deborah,Pileggi,69647,2002-07-02,Senior Staff
15562,Udo,Mandelberg,99139,2002-07-02,Senior Staff
15562,Hongzue,Baalen,74404,2002-07-01,Senior Staff
15562,Otilia,Panienski,54398,2002-07-01,Senior Staff
15562,Billur,Fiutem,66091,2002-07-01,Senior Staff
15562,Phuoc,Mikschl,48607,2002-07-01,Senior Staff
16433,Dayanand,Auyong,60808,2002-07-01,Senior Engineer
16433,Yolla,Shimshoni,50512,2002-07-01,Senior Engineer
16433,King,Detkin,46313,2002-07-01,Senior Engineer
16433,Erez,McClurg,93719,2002-06-30,Senior Engineer
16433,Jaana,Schlumberger,64120,2002-06-30,Senior Engineer
15562,Maha,Choobineh,62603,2002-06-30,Senior Staff
15562,Mayuri,Delaune,69150,2002-06-30,Senior Staff
15562,Fusako,Peak,104610,2002-06-29,Senior Staff
15562,Avishai,Standera,72327,2002-06-29,Senior Staff
15562,Sumant,Huttel,61465,2002-06-29,Senior Staff
15562,Behnaam,Tzvieli,95764,2002-06-29,Senior Staff
16433,Junichi,Shimshoni,57488,2002-06-29,Senior Engineer
16433,Parviz,Linnainmaa,83081,2002-06-29,Senior Engineer
19255,Angel,Azadmanesh,69341,2002-06-28,Engineer
16433,Feiyu,Chepyzhov,56554,2002-06-28,Senior Engineer
15562,Troy,Kossowski,81060,2002-06-28,Senior Staff
15562,Ulf,Wiegley,45977,2002-06-28,Senior Staff
15562,Adas,Skafidas,50483,2002-06-27,Senior Staff
15562,Uinam,Camurati,88962,2002-06-27,Senior Staff
15562,Otilia,Besselaar,62779,2002-06-27,Senior Staff
15562,Aksel,Bain,57774,2002-06-27,Senior Staff
15562,Chiradeep,Hoogerwoord,42296,2002-06-27,Senior Staff
15562,Kish,Bellone,61103,2002-06-27,Senior Staff
16433,Arne,Orlowska,60503,2002-06-27,Senior Engineer
16433,Kousuke,Waterhouse,75254,2002-06-27,Senior Engineer
16433,Quingbo,Guenter,41466,2002-06-27,Senior Engineer
16433,Jacopo,Emden,59905,2002-06-27,Senior Engineer
16433,Tesuya,Puppe,95594,2002-06-26,Senior Engineer
15562,Zhongwei,Lanteri,57403,2002-06-26,Senior Staff
15562,Bokyung,Hainaut,90600,2002-06-26,Senior Staff
15562,Toshimori,Denny,48782,2002-06-26,Senior Staff
15562,Gen,Eickenmeyer,45227,2002-06-26,Senior Staff
15562,Khosrow,Fujisaki,73030,2002-06-25,Senior Staff
15562,Shaunak,Verspoor,66515,2002-06-25,Senior Staff
15562,Chinya,Marquardt,59609,2002-06-25,Senior Staff
16433,Adamantios,Tagansky,99978,2002-06-25,Senior Engineer
16433,Ziya,Lorch,77271,2002-06-25,Senior Engineer
16433,Hiroyasu,Bodoff,43996,2002-06-25,Senior Engineer
16433,Geoffrey,Jansen,67679,2002-06-24,Senior Engineer
16433,Selwyn,Quadeer,83956,2002-06-24,Senior Engineer
16433,Xumin,Kaiserswerth,49788,2002-06-24,Senior Engineer
15562,Werner,Atchley,79674,2002-06-24,Senior Staff
15562,Dekang,Stemann,77820,2002-06-24,Senior Staff
16433,Uli,Busillo,76753,2002-06-23,Senior Engineer
16433,Suebskul,Welham,51114,2002-06-23,Senior Engineer
16433,Xuedong,Henders,55050,2002-06-23,Senior Engineer
16433,Ute,Esteva,82770,2002-06-23,Senior Engineer
16433,Lobel,Baalen,94393,2002-06-23,Senior Engineer
16433,Renee,Suwa,40819,2002-06-22,Senior Engineer
16433,Horward,Pietracaprina,93217,2002-06-22,Senior Engineer
16433,Yuuichi,Morrin,87150,2002-06-22,Senior Engineer
16433,Moon,Goodrum,73868,2002-06-22,Senior Engineer
15562,Hinrich,Swan,49924,2002-06-22,Senior Staff
15562,Dietrich,Riefers,74716,2002-06-22,Senior Staff
15562,Aiichiro,Businaro,78248,2002-06-21,Senior Staff
16433,Qingxiang,Gewali,65640,2002-06-21,Senior Engineer
16433,Xiaoshan,Chachaty,56153,2002-06-21,Senior Engineer
16433,Sajjad,Speek,48619,2002-06-21,Senior Engineer
16433,Vishv,Feldhoffer,56910,2002-06-21,Senior Engineer
16433,Dietrich,Sadowski,65594,2002-06-21,Senior Engineer
16433,Holgard,Highland,47788,2002-06-20,Senior Engineer
16433,Shaw,Falby,46225,2002-06-20,Senior Engineer
16433,Rutger,Ranst,47066,2002-06-20,Senior Engineer
16433,Gurbir,Lorcy,77835,2002-06-20,Senior Engineer
16433,Adel,Litzkow,69744,2002-06-20,Senior Engineer
15562,Foong,Reghbati,42711,2002-06-20,Senior Staff
15562,Shawna,Perna,104968,2002-06-20,Senior Staff
15562,Gonzalo,Auria,81175,2002-06-19,Senior Staff
15562,Garnik,Huxford,75769,2002-06-19,Senior Staff
15562,Dinkar,Passino,72932,2002-06-19,Senior Staff
15562,Rosita,Kirkerud,56662,2002-06-19,Senior Staff
15562,Souichi,Boissier,44682,2002-06-19,Senior Staff
16433,Sanjai,Validov,41789,2002-06-19,Senior Engineer
16433,Fun,Giarratana,43005,2002-06-19,Senior Engineer
16433,Xiaobin,Horswill,42952,2002-06-18,Senior Engineer
16433,Udo,Rodite,42667,2002-06-18,Senior Engineer
16433,Xiong,Schahn,80491,2002-06-18,Senior Engineer
16433,Feipei,Conta,66245,2002-06-18,Senior Engineer
16433,Harngdar,Jeong,80413,2002-06-18,Senior Engineer
15562,Ipke,Shinomoto,65150,2002-06-18,Senior Staff
15562,Sivanarayana,Hiraishi,73131,2002-06-18,Senior Staff
15562,Halsur,Erol,85846,2002-06-18,Senior Staff
15562,Gennady,Shimshoni,58871,2002-06-18,Senior Staff
15562,Peer,Farrar,80123,2002-06-17,Senior Staff
15562,Gio,Wallrath,98904,2002-06-17,Senior Staff
15562,Gunilla,Simmel,47766,2002-06-17,Senior Staff
15562,Etsuo,Cooley,55692,2002-06-17,Senior Staff
15562,Chenye,Dichev,92308,2002-06-17,Senior Staff
16433,Nahid,Eugenio,58869,2002-06-17,Senior Engineer
19255,Anneke,Baar,83608,2002-06-17,Engineer
16433,Izaskun,Knightly,103360,2002-06-17,Senior Engineer
16433,Kristian,Christianini,66590,2002-06-17,Senior Engineer
16433,Moon,Mitzlaff,53844,2002-06-17,Senior Engineer
19255,Brigham,Murtagh,69525,2002-06-16,Engineer
16433,Unal,Beidas,47293,2002-06-16,Senior Engineer
15562,Yunming,Denna,41078,2002-06-16,Senior Staff
15562,Valery,Krupka,48371,2002-06-16,Senior Staff
15562,Elgin,Deyuan,54145,2002-06-15,Senior Staff
15562,Barry,Kumaresan,68660,2002-06-15,Senior Staff
16433,Vishu,Bultermann,45642,2002-06-15,Senior Engineer
16433,Boaz,Soicher,81293,2002-06-15,Senior Engineer
19255,Lene,Heiserman,73874,2002-06-15,Engineer
16433,Rosalyn,Perri,105807,2002-06-15,Senior Engineer
19255,Danil,Akazan,55564,2002-06-15,Engineer
16433,Sham,Porenta,67331,2002-06-15,Senior Engineer
16433,Eric,Pulkowski,84180,2002-06-14,Senior Engineer
16433,Toshimi,Ozery,69757,2002-06-14,Senior Engineer
15562,Arve,Naumovich,87889,2002-06-14,Senior Staff
15562,Miquel,Masamoto,51103,2002-06-13,Senior Staff
16433,Khosrow,Plumb,100984,2002-06-13,Senior Engineer
16433,Leucio,Calkin,50590,2002-06-13,Senior Engineer
16433,Dayanand,Bain,85811,2002-06-13,Senior Engineer
16433,Brewster,Furudate,74840,2002-06-12,Senior Engineer
16433,Masoud,Rosca,92983,2002-06-12,Senior Engineer
19255,Aleksandar,Desikan,54129,2002-06-11,Engineer
16433,Martina,Lamma,83908,2002-06-11,Senior Engineer
16433,Shaz,Coombs,91219,2002-06-11,Senior Engineer
16433,Kinh,Shobatake,81374,2002-06-11,Senior Engineer
16433,Abdelaziz,Sinitsyn,51886,2002-06-11,Senior Engineer
19255,Mingsen,Mitina,109568,2002-06-11,Engineer
15562,Snehasis,Avouris,63965,2002-06-11,Senior Staff
15562,Honglan,Frijda,56156,2002-06-10,Senior Staff
15562,Gregory,Cooke,44549,2002-06-10,Senior Staff
15562,Zdislav,Usery,58641,2002-06-10,Senior Staff
16433,Shugo,Strehl,60328,2002-06-10,Senior Engineer
16433,Nimmagadda,Birke,87114,2002-06-10,Senior Engineer
16433,Moheb,Lienhardt,44893,2002-06-10,Senior Engineer
16433,Basem,Tempesti,55174,2002-06-09,Senior Engineer
16433,Jasminko,Kawashima,64969,2002-06-09,Senior Engineer
19255,Ronghao,Picaronny,77815,2002-06-09,Engineer
16433,Taisook,Homond,99711,2002-06-09,Senior Engineer
16433,Gal,Uhrig,53365,2002-06-09,Senior Engineer
15562,Peer,Figueira,52693,2002-06-09,Senior Staff
15562,Goa,Gronowski,81668,2002-06-09,Senior Staff
15562,Ger,Mundy,70772,2002-06-09,Senior Staff
15562,Rosalyn,Domenig,71920,2002-06-09,Senior Staff
15562,Jeanna,Magalhaes,73086,2002-06-09,Senior Staff
15562,Ramalingam,Bael,80009,2002-06-09,Senior Staff
16433,Serap,Kaltofen,59601,2002-06-08,Senior Engineer
16433,Kenroku,Gulak,75881,2002-06-08,Senior Engineer
19255,Guiseppe,DuBourdieux,75959,2002-06-08,Engineer
16433,Ekawit,Daescu,90037,2002-06-08,Senior Engineer
16433,Luigi,Brattka,44060,2002-06-07,Senior Engineer
19255,Byong,Himler,86069,2002-06-07,Engineer
15562,Kwangho,Nilsson,45112,2002-06-07,Senior Staff
15562,Leaf,Debuse,54220,2002-06-07,Senior Staff
15562,Aloke,Bakhtari,65101,2002-06-06,Senior Staff
15562,Rayond,Hofstetter,52929,2002-06-06,Senior Staff
15562,Berna,Hertweck,86030,2002-06-06,Senior Staff
15562,Taizo,Klyachko,58566,2002-06-06,Senior Staff
15562,Hyuckchul,Marakhovsky,60340,2002-06-06,Senior Staff
16433,Mark,Ventosa,65568,2002-06-06,Senior Engineer
16433,Ingemar,Kuzuoka,67266,2002-06-06,Senior Engineer
16433,Shaibal,Smeets,81197,2002-06-05,Senior Engineer
16433,Shem,Uchoa,70533,2002-06-05,Senior Engineer
16433,Muzhong,Bazelow,66315,2002-06-05,Senior Engineer
15562,Jamaludin,Clemencon,105509,2002-06-05,Senior Staff
15562,Make,Majewski,62608,2002-06-05,Senior Staff
15562,Sarita,Birnbaum,73613,2002-06-05,Senior Staff
16433,Heekeun,Lienhardt,43179,2002-06-04,Senior Engineer
16433,Mayumi,Hofting,80817,2002-06-04,Senior Engineer
16433,Chikako,Improta,45211,2002-06-03,Senior Engineer
16433,Goncalo,Murrill,41209,2002-06-03,Senior Engineer
16433,Danco,Schoegge,80533,2002-06-03,Senior Engineer
19255,Bikash,Iisaka,67928,2002-06-03,Engineer
15562,Youngkon,Farrag,70367,2002-06-03,Senior Staff
15562,Zorica,Matzke,69093,2002-06-03,Senior Staff
15562,Subir,Hammerschmidt,62630,2002-06-02,Senior Staff
15562,Odysseas,Kohling,44599,2002-06-02,Senior Staff
16433,Jinya,Einsfeld,41361,2002-06-02,Senior Engineer
16433,Radhika,Rassart,88003,2002-06-02,Senior Engineer
16433,Filipp,Moffat,53121,2002-06-01,Senior Engineer
16433,Tiina,Reeker,84181,2002-06-01,Senior Engineer
15562,Nigel,Champarnaud,46365,2002-06-01,Senior Staff
15562,Nigel,Puppo,62665,2002-05-31,Senior Staff
15562,Raimond,Rodham,103097,2002-05-31,Senior Staff
16433,Adin,Tempesti,78946,2002-05-31,Senior Engineer
16433,Shigeichiro,Lorys,56396,2002-05-31,Senior Engineer
16433,Shakhar,Baalen,53474,2002-05-31,Senior Engineer
16433,Rajmohan,Sankaranarayanan,48352,2002-05-31,Senior Engineer
16433,Abdelwaheb,Vuskovic,52224,2002-05-30,Senior Engineer
15562,Gil,Feinberg,63972,2002-05-30,Senior Staff
15562,Yaghout,Ozeki,68373,2002-05-30,Senior Staff
15562,Magdalena,Otillio,74091,2002-05-30,Senior Staff
15562,Douadi,Llado,51865,2002-05-29,Senior Staff
15562,Kristof,Underwood,50157,2002-05-29,Senior Staff
16433,Khalid,Poulakidas,70704,2002-05-29,Senior Engineer
16433,Kish,Gimarc,58834,2002-05-29,Senior Engineer
16433,Xuejun,Mundy,68644,2002-05-29,Senior Engineer
16433,Rildo,Puppo,107813,2002-05-29,Senior Engineer
16433,Kazunori,Escriba,51743,2002-05-29,Senior Engineer
16433,Yechiam,Merey,70686,2002-05-29,Senior Engineer
16433,Shimshon,Perelgut,67041,2002-05-28,Senior Engineer
16433,Mong,Brattka,94149,2002-05-28,Senior Engineer
16433,Rosli,Henders,60017,2002-05-27,Senior Engineer
16433,Souichi,Stenning,69270,2002-05-27,Senior Engineer
19255,Nagui,Ullian,79256,2002-05-27,Engineer
15562,Kellyn,Kuhnemann,92664,2002-05-27,Senior Staff
15562,Aral,Rothenberg,93772,2002-05-27,Senior Staff
15562,Hitofumi,Segond,54071,2002-05-27,Senior Staff
15562,Gully,Billingsley,69799,2002-05-26,Senior Staff
15562,Kasidit,Hofstetter,93291,2002-05-26,Senior Staff
15562,Tianruo,Farrel,59208,2002-05-26,Senior Staff
16433,Sachio,Kaltofen,84574,2002-05-26,Senior Engineer
16433,Rafael,Leppanen,65663,2002-05-26,Senior Engineer
16433,Nagui,Sigstam,86532,2002-05-26,Senior Engineer
16433,Ayakannu,Asrin,45000,2002-05-25,Senior Engineer
16433,JoAnna,Erez,45938,2002-05-25,Senior Engineer
15562,Youngkon,Angiulli,44555,2002-05-25,Senior Staff
15562,Mototsugu,Llado,63585,2002-05-25,Senior Staff
15562,Persi,Heping,55658,2002-05-24,Senior Staff
15562,Mingsen,Veeraraghavan,60080,2002-05-24,Senior Staff
15562,Bojan,Nitsche,54271,2002-05-24,Senior Staff
15562,Suzette,Curless,83202,2002-05-24,Senior Staff
16433,Laurentiu,Baez,86304,2002-05-24,Senior Engineer
16433,Shuky,Showalter,67227,2002-05-24,Senior Engineer
16433,Jaideep,Horswill,47894,2002-05-24,Senior Engineer
16433,Temple,Bellone,72164,2002-05-23,Senior Engineer
16433,Shridhar,Jonsson,64227,2002-05-23,Senior Engineer
16433,Masasuke,Fairtlough,43009,2002-05-23,Senior Engineer
15562,Kiyokazu,Slaats,54852,2002-05-23,Senior Staff
15562,Phuoc,Rebaine,85350,2002-05-23,Senior Staff
15562,Arve,Karcich,96320,2002-05-23,Senior Staff
19255,Lakshmi,Jullig,45123,2002-05-22,Engineer
16433,Aram,Calkin,71000,2002-05-22,Senior Engineer
16433,Lijia,Ghelli,74041,2002-05-22,Senior Engineer
19255,Margareta,Barbanera,60827,2002-05-21,Engineer
16433,Xiaopeng,Fritzsche,64556,2002-05-21,Senior Engineer
16433,Oksana,Parascandalo,40704,2002-05-21,Senior Engineer
16433,Bangqing,Jiafu,80302,2002-05-21,Senior Engineer
16433,Guther,Brattka,56755,2002-05-21,Senior Engineer
15562,Martins,Setlzner,62006,2002-05-21,Senior Staff
15562,Ishfaq,Underwood,55442,2002-05-21,Senior Staff
